"index","pkey","season","name","team","position","games_played","i_f_goals","i_f_points","i_f_penalityminutes","i_f_hits","i_f_takeaways","i_f_giveaways","onice_corsipercentage","onice_fenwickpercentage","games_missed"
4498,"2017Sammy Blais",2017,"Sammy Blais","STL","L",11,1,3,6,15,1,5,0.5,0.53,1
4504,"2017Jacob Trouba",2017,"Jacob Trouba","WPG","D",55,3,24,34,84,28,54,0.48,0.49,5
4511,"2017Bryan Rust",2017,"Bryan Rust","PIT","R",69,13,38,26,97,31,32,0.53,0.54,2
4602,"2017Sam Gagner",2017,"Sam Gagner","VAN","C",74,10,31,35,54,17,22,0.52,0.51,1
4616,"2017Trevor van Riemsdyk",2017,"Trevor van Riemsdyk","CAR","D",79,3,16,20,25,45,19,0.52,0.52,3
4620,"2017Noah Hanifin",2017,"Noah Hanifin","CAR","D",79,10,32,21,81,50,58,0.6,0.59,3
4621,"2017Brian Dumoulin",2017,"Brian Dumoulin","PIT","D",80,5,18,30,101,35,43,0.48,0.49,2
4636,"2017Brett Pesce",2017,"Brett Pesce","CAR","D",65,3,19,18,57,38,24,0.49,0.48,3
4683,"2017Colin Wilson",2017,"Colin Wilson","COL","C",55,6,18,6,38,11,13,0.53,0.54,8
4695,"2017Trevor Lewis",2017,"Trevor Lewis","L.A","C",68,14,26,25,125,19,14,0.46,0.47,12
4803,"2017Brett Connolly",2017,"Brett Connolly","WSH","R",70,15,27,20,72,17,19,0.51,0.48,7
4942,"2017Sebastian Aho",2017,"Sebastian Aho","CAR","R",78,29,65,24,65,59,53,0.61,0.6,4
4971,"2017Nikita Scherbak",2017,"Nikita Scherbak","MTL","R",26,4,6,8,18,13,9,0.52,0.52,2
4975,"2017Sebastian Aho",2017,"Sebastian Aho","NYI","D",22,1,4,6,10,3,12,0.49,0.47,4
4986,"2017Kyle Okposo",2017,"Kyle Okposo","BUF","R",76,15,44,40,70,24,28,0.57,0.56,3
5003,"2017Dmitry Kulikov",2017,"Dmitry Kulikov","WPG","D",62,3,11,22,69,11,53,0.42,0.43,3
5035,"2017Ales Hemsky",2017,"Ales Hemsky","MTL","R",7,0,0,10,0,1,3,0.62,0.62,74
5047,"2017Ondrej Kase",2017,"Ondrej Kase","ANA","R",66,20,38,14,28,29,31,0.56,0.55,10
5049,"2017Leon Draisaitl",2017,"Leon Draisaitl","EDM","C",78,25,70,30,40,78,84,0.57,0.58,4
5081,"2017Logan Couture",2017,"Logan Couture","S.J","C",78,34,61,18,33,55,52,0.56,0.57,4
5092,"2017Stephen Johns",2017,"Stephen Johns","DAL","D",74,8,15,41,198,25,44,0.46,0.47,3
5127,"2017Matt Hunwick",2017,"Matt Hunwick","PIT","D",42,4,10,21,51,14,20,0.45,0.44,15
5142,"2017Victor Antipin",2017,"Victor Antipin","BUF","D",47,0,10,18,14,4,13,0.51,0.5,4
5163,"2017Gustav Olofsson",2017,"Gustav Olofsson","MIN","D",41,0,8,14,23,5,12,0.46,0.47,5
5163,"2017Gustav Olofsson",2017,"Gustav Olofsson","MIN","D",41,0,8,14,23,5,12,0.46,0.47,5
5186,"2017Justin Schultz",2017,"Justin Schultz","PIT","D",63,4,27,14,36,17,27,0.54,0.56,6
5198,"2017Mika Zibanejad",2017,"Mika Zibanejad","NYR","C",72,27,47,14,92,49,63,0.56,0.57,9
5206,"2017Mark Borowiecki",2017,"Mark Borowiecki","OTT","D",52,3,11,64,226,11,17,0.44,0.47,21
5242,"2017Marcus Johansson",2017,"Marcus Johansson","N.J","L",29,5,14,14,8,15,21,0.54,0.54,2
5242,"2017Marcus Johansson",2017,"Marcus Johansson","N.J","L",29,5,14,14,8,15,21,0.54,0.54,35
5242,"2017Marcus Johansson",2017,"Marcus Johansson","N.J","L",29,5,14,14,8,15,21,0.54,0.54,13
5243,"2017Jimmy Vesey",2017,"Jimmy Vesey","NYR","L",79,17,28,10,83,46,46,0.49,0.48,3
5289,"2018Frans Nielsen",2018,"Frans Nielsen","DET","C",72,10,34,14,79,18,35,0.47,0.47,5
5325,"2018Andrei Svechnikov",2018,"Andrei Svechnikov","CAR","R",82,20,37,62,123,34,63,0.6,0.6,6
5362,"2018Brendan Perlini",2018,"Brendan Perlini","CHI","L",68,14,21,28,51,11,14,0.5,0.49,3
5417,"2018Torey Krug",2018,"Torey Krug","BOS","D",64,6,53,23,53,20,52,0.6,0.6,6
5420,"2018Jamie Oleksiak",2018,"Jamie Oleksiak","DAL","D",57,4,12,45,135,10,38,0.49,0.5,3
5431,"2018Matt Grzelcyk",2018,"Matt Grzelcyk","BOS","D",66,3,18,48,46,28,39,0.53,0.53,4
5437,"2018Dillon Dube",2018,"Dillon Dube","CGY","C",25,1,5,4,11,6,6,0.47,0.47,4
5448,"2018Brian Dumoulin",2018,"Brian Dumoulin","PIT","D",76,3,23,20,141,39,51,0.48,0.48,3
5463,"2018Antoine Roussel",2018,"Antoine Roussel","VAN","L",65,9,30,68,87,20,20,0.47,0.49,4
5470,"2018Vladislav Namestnikov",2018,"Vladislav Namestnikov","NYR","C",78,11,31,34,140,32,46,0.47,0.46,3
5471,"2018Erik Johnson",2018,"Erik Johnson","COL","D",80,7,26,28,124,31,41,0.43,0.43,2
5476,"2018Alex Formenton",2018,"Alex Formenton","OTT","L",9,1,1,6,11,4,5,0.37,0.38,3
5515,"2018Justin Falk",2018,"Justin Falk","OTT","D",10,0,0,11,36,1,5,0.36,0.34,12
5524,"2018Mikael Backlund",2018,"Mikael Backlund","CGY","C",77,21,47,52,52,78,55,0.55,0.54,4
5539,"2018Nazem Kadri",2018,"Nazem Kadri","TOR","C",73,16,43,33,85,42,47,0.6,0.58,8
5556,"2018Urho Vaakanainen",2018,"Urho Vaakanainen","BOS","D",2,0,0,0,0,0,1,0.59,0.55,26
5562,"2018Zach Sanford",2018,"Zach Sanford","STL","L",60,8,20,21,48,31,14,0.5,0.51,3
5580,"2018Troy Stecher",2018,"Troy Stecher","VAN","D",78,2,23,32,91,42,32,0.49,0.48,3
5585,"2018T.J. Oshie",2018,"T.J. Oshie","WSH","R",69,25,54,36,133,46,38,0.57,0.57,11
5617,"2018Haydn Fleury",2018,"Haydn Fleury","CAR","D",20,0,1,2,25,3,6,0.51,0.52,9
5617,"2018Haydn Fleury",2018,"Haydn Fleury","CAR","D",20,0,1,2,25,3,6,0.51,0.52,3
5619,"2018J.T. Compher",2018,"J.T. Compher","COL","L",66,16,33,31,33,23,23,0.5,0.5,16
5632,"2018Andrew Copp",2018,"Andrew Copp","WPG","C",69,11,25,6,71,22,27,0.47,0.46,3
5634,"2018Sami Vatanen",2018,"Sami Vatanen","N.J","D",50,4,17,22,68,16,36,0.49,0.49,14
5662,"2018Bobby Ryan",2018,"Bobby Ryan","OTT","R",78,15,42,35,77,50,48,0.5,0.51,3
5682,"2018David Perron",2018,"David Perron","STL","L",57,23,46,46,52,41,17,0.56,0.56,24
5713,"2018Micheal Ferland",2018,"Micheal Ferland","CAR","L",71,17,40,58,182,36,48,0.59,0.59,4
5769,"2018Johnny Boychuk",2018,"Johnny Boychuk","NYI","D",74,3,20,25,144,10,56,0.44,0.44,2
5799,"2018Marcus Kruger",2018,"Marcus Kruger","CHI","C",74,3,11,30,51,17,11,0.4,0.41,4
5801,"2018Patric Hornqvist",2018,"Patric Hornqvist","PIT","R",69,17,36,16,150,25,18,0.57,0.57,4
5801,"2018Patric Hornqvist",2018,"Patric Hornqvist","PIT","R",69,17,36,16,150,25,18,0.57,0.57,3
5852,"2018Kasperi Kapanen",2018,"Kasperi Kapanen","TOR","R",78,20,44,27,92,44,38,0.51,0.5,4
5855,"2018Alexander Edler",2018,"Alexander Edler","VAN","D",56,10,31,54,127,13,38,0.49,0.51,11
5856,"2018Nikita Soshnikov",2018,"Nikita Soshnikov","STL","R",5,0,0,0,5,0,1,0.39,0.38,10
5868,"2018Kyle Okposo",2018,"Kyle Okposo","BUF","R",78,14,29,41,87,17,27,0.54,0.53,4
5920,"2018Andreas Johnsson",2018,"Andreas Johnsson","TOR","L",73,20,41,32,60,25,20,0.58,0.57,1
5948,"2018Artem Anisimov",2018,"Artem Anisimov","CHI","C",78,15,36,14,25,50,13,0.49,0.48,4
5955,"2018Charlie McAvoy",2018,"Charlie McAvoy","BOS","D",54,7,28,45,90,30,54,0.54,0.55,20
5977,"2018Jordan Staal",2018,"Jordan Staal","CAR","C",50,11,29,24,121,39,24,0.59,0.58,27
5977,"2018Jordan Staal",2018,"Jordan Staal","CAR","C",50,11,29,24,121,39,24,0.59,0.58,5
6001,"2018Jake DeBrusk",2018,"Jake DeBrusk","BOS","L",68,27,41,18,45,42,27,0.6,0.6,9
6014,"2018Tyler Bozak",2018,"Tyler Bozak","STL","C",72,13,38,20,51,30,19,0.54,0.54,9
6041,"2018Pavel Buchnevich",2018,"Pavel Buchnevich","NYR","R",64,21,38,13,60,29,43,0.52,0.51,1
6062,"2018Sean Kuraly",2018,"Sean Kuraly","BOS","C",71,8,21,38,129,34,32,0.46,0.47,2
6064,"2018Tom Wilson",2018,"Tom Wilson","WSH","R",63,22,40,88,200,43,44,0.47,0.48,3
6114,"2018Dustin Byfuglien",2018,"Dustin Byfuglien","WPG","D",42,4,30,59,77,21,39,0.56,0.55,4
6118,"2018Ondrej Kase",2018,"Ondrej Kase","ANA","R",30,11,20,2,17,15,18,0.6,0.59,18
6138,"2018Drake Caggiula",2018,"Drake Caggiula","CHI","C",55,12,23,28,135,18,22,0.49,0.48,13
6145,"2018Elias Pettersson",2018,"Elias Pettersson","VAN","C",71,28,66,12,42,41,52,0.58,0.58,6
6174,"2018Scott Harrington",2018,"Scott Harrington","CBJ","D",73,2,17,23,73,9,18,0.46,0.47,2
6183,"2018MacKenzie Weegar",2018,"MacKenzie Weegar","FLA","D",64,4,15,44,127,34,59,0.5,0.51,4
6202,"2019Brendan Gallagher",2019,"Brendan Gallagher","MTL","R",59,23,44,29,53,39,18,0.63,0.63,4
6230,"2019Miro Heiskanen",2019,"Miro Heiskanen","DAL","D",68,8,36,12,40,42,79,0.52,0.51,1
6252,"2019Drake Caggiula",2019,"Drake Caggiula","CHI","C",40,9,15,32,81,19,5,0.48,0.47,27
6266,"2019Travis Konecny",2019,"Travis Konecny","PHI","R",66,24,60,28,63,29,47,0.6,0.59,3
6272,"2019Nicklas Backstrom",2019,"Nicklas Backstrom","WSH","C",61,12,55,14,29,34,42,0.6,0.6,3
6346,"2019Lucas Carlsson",2019,"Lucas Carlsson","CHI","D",6,0,1,0,11,1,0,0.47,0.48,2
6366,"2019Mathieu Perreault",2019,"Mathieu Perreault","WPG","L",49,7,16,10,69,17,11,0.53,0.52,6
6418,"2019Riley Sheahan",2019,"Riley Sheahan","EDM","C",66,8,16,6,25,36,25,0.36,0.38,2
6423,"2019Joel Persson",2019,"Joel Persson","EDM","D",13,0,2,2,6,2,8,0.48,0.48,7
6432,"2019Rasmus Dahlin",2019,"Rasmus Dahlin","BUF","D",59,4,39,38,72,16,43,0.58,0.57,8
6456,"2019Oscar Fantenberg",2019,"Oscar Fantenberg","VAN","D",36,1,5,6,66,7,11,0.41,0.43,5
6491,"2019Kyle Okposo",2019,"Kyle Okposo","BUF","R",52,9,19,18,55,15,13,0.52,0.52,10
6518,"2019Bryan Little",2019,"Bryan Little","WPG","C",7,2,5,2,3,2,2,0.57,0.54,9
6603,"2019Scott Sabourin",2019,"Scott Sabourin","OTT","R",35,2,6,23,74,5,6,0.45,0.46,25
6664,"2019Kirby Dach",2019,"Kirby Dach","CHI","C",64,8,24,24,33,38,16,0.52,0.51,2
6720,"2019Dylan Strome",2019,"Dylan Strome","CHI","C",58,12,38,16,23,30,26,0.54,0.53,4
6721,"2019Trevor Moore",2019,"Trevor Moore","L.A","C",42,6,10,6,60,21,19,0.46,0.45,15
6725,"2019Dominik Kahun",2019,"Dominik Kahun","BUF","C",56,12,31,8,5,18,9,0.53,0.52,8
6744,"2019Micheal Ferland",2019,"Micheal Ferland","VAN","L",14,1,5,7,40,2,1,0.46,0.47,17
6840,"2019Tyler Pitlick",2019,"Tyler Pitlick","PHI","C",63,9,20,12,132,28,15,0.44,0.45,2
6843,"2019Jordan Greenway",2019,"Jordan Greenway","MIN","L",67,8,28,54,95,41,30,0.5,0.5,2
6845,"2019Xavier Ouellet",2019,"Xavier Ouellet","MTL","D",12,0,3,4,24,1,4,0.49,0.48,3
6873,"2019Adam Boqvist",2019,"Adam Boqvist","CHI","D",41,4,13,6,33,10,26,0.53,0.51,1
6882,"2019Kris Russell",2019,"Kris Russell","EDM","D",55,0,9,14,71,31,37,0.38,0.4,14
6946,"2019Jesperi Kotkaniemi",2019,"Jesperi Kotkaniemi","MTL","C",36,6,8,13,51,14,21,0.56,0.54,8
6948,"2019Matt Benning",2019,"Matt Benning","EDM","D",43,1,8,15,78,12,19,0.46,0.47,4
7044,"2019Andrew Shaw",2019,"Andrew Shaw","CHI","C",26,3,10,33,74,12,15,0.56,0.54,9
7044,"2019Andrew Shaw",2019,"Andrew Shaw","CHI","C",26,3,10,33,74,12,15,0.56,0.54,44
7049,"2019Joonas Donskoi",2019,"Joonas Donskoi","COL","R",65,16,33,26,25,28,20,0.51,0.51,5
7082,"2020John Tavares",2020,"John Tavares","TOR","C",56,19,50,14,51,32,55,0.58,0.58,6
7117,"2020Phillip Danault",2020,"Phillip Danault","MTL","C",53,5,24,24,76,14,31,0.52,0.51,3
7145,"2020John Leonard",2020,"John Leonard","S.J","L",44,3,13,2,25,13,11,0.5,0.51,2
7166,"2020Joel Armia",2020,"Joel Armia","MTL","R",41,7,14,10,86,18,18,0.51,0.49,7
7269,"2020Blake Wheeler",2020,"Blake Wheeler","WPG","R",50,15,46,40,63,25,16,0.54,0.54,6
7292,"2020Dylan Gambrell",2020,"Dylan Gambrell","S.J","C",49,5,12,13,77,9,13,0.4,0.41,1
7295,"2020Tyler Bozak",2020,"Tyler Bozak","STL","C",31,5,17,10,17,12,10,0.4,0.4,21
7340,"2020Sonny Milano",2020,"Sonny Milano","ANA","L",6,0,0,0,4,0,3,0.63,0.66,34
7392,"2020Duncan Keith",2020,"Duncan Keith","CHI","D",54,4,15,30,32,27,63,0.45,0.44,2
7393,"2020Jake Evans",2020,"Jake Evans","MTL","C",47,3,13,19,79,12,16,0.46,0.46,9
7524,"2020Ryan Carpenter",2020,"Ryan Carpenter","CHI","C",40,4,5,19,77,4,5,0.46,0.46,8
7594,"2020Tyler Motte",2020,"Tyler Motte","VAN","C",24,6,9,14,100,13,5,0.41,0.42,3
7810,"2020Teuvo Teravainen",2020,"Teuvo Teravainen","CAR","L",21,5,14,4,8,10,12,0.58,0.57,25
7810,"2020Teuvo Teravainen",2020,"Teuvo Teravainen","CAR","L",21,5,14,4,8,10,12,0.58,0.57,7
7830,"2020Andrew Shaw",2020,"Andrew Shaw","CHI","R",14,2,4,6,20,3,3,0.57,0.54,42
7847,"2020Brady Skjei",2020,"Brady Skjei","CAR","D",52,3,10,30,66,21,42,0.48,0.49,4
7852,"2020Dylan Strome",2020,"Dylan Strome","CHI","C",40,9,17,14,8,17,16,0.53,0.53,11
7880,"2020Adam Boqvist",2020,"Adam Boqvist","CHI","D",35,2,15,14,29,7,20,0.55,0.54,3
7969,"2020Brett Connolly",2020,"Brett Connolly","CHI","R",31,3,6,4,43,7,4,0.54,0.53,2
8035,"2021Zack Kassian",2021,"Zack Kassian","EDM","R",58,6,19,53,154,13,22,0.52,0.51,1
8147,"2021Jansen Harkins",2021,"Jansen Harkins","WPG","C",77,7,13,15,51,26,24,0.45,0.44,4
8165,"2021Derek Ryan",2021,"Derek Ryan","EDM","C",75,10,22,8,38,26,15,0.46,0.46,2
8188,"2021Jujhar Khaira",2021,"Jujhar Khaira","CHI","L",27,3,3,13,88,2,2,0.39,0.38,5
8277,"2021Connor Murphy",2021,"Connor Murphy","CHI","D",57,4,10,47,130,19,47,0.39,0.39,22
8277,"2021Connor Murphy",2021,"Connor Murphy","CHI","D",57,4,10,47,130,19,47,0.39,0.39,3
8289,"2021Tyler Johnson",2021,"Tyler Johnson","CHI","C",32,3,8,16,66,7,3,0.46,0.46,6
8327,"2021Pavel Buchnevich",2021,"Pavel Buchnevich","STL","L",73,30,76,34,57,46,41,0.53,0.53,3
8330,"2021Ondrej Kase",2021,"Ondrej Kase","TOR","R",50,14,27,14,29,28,16,0.51,0.5,20
8448,"2021William Carrier",2021,"William Carrier","VGK","L",63,9,20,24,159,24,12,0.56,0.57,2
8561,"2021Bowen Byram",2021,"Bowen Byram","COL","D",30,5,17,12,53,14,11,0.54,0.53,6
8615,"2021Trent Frederic",2021,"Trent Frederic","BOS","C",60,8,18,57,119,23,12,0.48,0.5,7
8617,"2021Christian Dvorak",2021,"Christian Dvorak","MTL","L",56,11,33,14,32,16,32,0.46,0.45,19
8664,"2021Jonathan Toews",2021,"Jonathan Toews","CHI","C",71,12,37,39,25,48,34,0.5,0.49,11
8675,"2021Sami Niku",2021,"Sami Niku","MTL","D",13,0,6,2,6,2,5,0.5,0.52,2
8730,"2021Nick Foligno",2021,"Nick Foligno","BOS","L",64,2,13,61,164,22,14,0.55,0.56,4
8732,"2021Duncan Keith",2021,"Duncan Keith","EDM","D",64,1,21,22,22,36,64,0.49,0.48,9
8776,"2021Andrew Copp",2021,"Andrew Copp","NYR","C",72,21,53,16,45,34,43,0.54,0.54,6
8834,"2021Nathan MacKinnon",2021,"Nathan MacKinnon","COL","C",65,32,88,42,68,37,56,0.61,0.6,4
8839,"2021Mike Hardman",2021,"Mike Hardman","CHI","L",21,0,2,11,60,5,5,0.4,0.38,2
8873,"2021Tanner Kero",2021,"Tanner Kero","DAL","C",23,0,3,0,12,6,7,0.43,0.45,4
8919,"2021Sidney Crosby",2021,"Sidney Crosby","PIT","C",69,31,84,32,50,34,54,0.6,0.59,1
8920,"2021Neal Pionk",2021,"Neal Pionk","WPG","D",77,3,34,46,185,27,68,0.49,0.49,3
8930,"2021Jake Muzzin",2021,"Jake Muzzin","TOR","D",47,3,14,16,105,12,44,0.48,0.48,20
8930,"2021Jake Muzzin",2021,"Jake Muzzin","TOR","D",47,3,14,16,105,12,44,0.48,0.48,7
8948,"2021Scott Laughton",2021,"Scott Laughton","PHI","C",67,11,30,35,151,31,40,0.45,0.45,12
9023,"2022Nate Schmidt",2022,"Nate Schmidt","WPG","D",71,7,19,8,45,21,50,0.53,0.52,9
9052,"2022Radko Gudas",2022,"Radko Gudas","FLA","D",72,2,17,79,312,20,36,0.49,0.49,10
9179,"2022Thomas Chabot",2022,"Thomas Chabot","OTT","D",68,11,41,52,79,19,65,0.57,0.57,5
9242,"2022Patric Hornqvist",2022,"Patric Hornqvist","FLA","R",22,1,3,13,18,5,0,0.63,0.62,40
9353,"2022Kurtis MacDermid",2022,"Kurtis MacDermid","COL","D",44,1,6,55,86,6,8,0.46,0.45,4
9371,"2022Travis Dermott",2022,"Travis Dermott","VAN","D",11,1,1,2,10,1,1,0.4,0.4,34
9429,"2022William Lockwood",2022,"William Lockwood","VAN","R",13,0,1,0,37,4,3,0.46,0.5,9
9515,"2022Ondrej Kase",2022,"Ondrej Kase","CAR","R",1,0,0,0,1,1,0,0.74,0.72,62
9558,"2022Chris Tierney",2022,"Chris Tierney","MTL","C",36,3,10,6,15,13,11,0.38,0.39,8
9577,"2022Reese Johnson",2022,"Reese Johnson","CHI","C",54,4,6,26,173,12,7,0.37,0.38,9
9768,"2022Cale Makar",2022,"Cale Makar","COL","D",60,17,66,30,65,50,48,0.57,0.56,5
9787,"2022Jakub Voracek",2022,"Jakub Voracek","CBJ","R",11,1,6,0,2,4,1,0.5,0.5,50
9787,"2022Jakub Voracek",2022,"Jakub Voracek","CBJ","R",11,1,6,0,2,4,1,0.5,0.5,4
